251 	 Q0 	    FT941-13190 	    1 	 0.140600 	 gmu96ma2 
251 	 Q0 	     CR93E-4925 	  203 	 0.014900 	 gmu96ma2 
251 	 Q0 	      FT933-724 	  204 	 0.014800 	 gmu96ma2 
251 	 Q0 	    FT933-16509 	  205 	 0.014600 	 gmu96ma2 
251 	 Q0 	  AP880323-0126 	  206 	 0.014500 	 gmu96ma2 
251 	 Q0 	      FT943-262 	  207 	 0.014300 	 gmu96ma2 
251 	 Q0 	 WSJ910910-0058 	  208 	 0.014300 	 gmu96ma2 
251 	 Q0 	 WSJ910813-0004 	  209 	 0.014300 	 gmu96ma2 
251 	 Q0 	     FT932-4456 	  210 	 0.014100 	 gmu96ma2 
251 	 Q0 	      FT932-289 	  211 	 0.014100 	 gmu96ma2 
251 	 Q0 	     FT931-6419 	  212 	 0.014000 	 gmu96ma2 
251 	 Q0 	  AP880605-0084 	  213 	 0.014000 	 gmu96ma2 
251 	 Q0 	      FT944-212 	  214 	 0.013900 	 gmu96ma2 
251 	 Q0 	      FT943-272 	  215 	 0.013800 	 gmu96ma2 
251 	 Q0 	     FT943-7019 	  216 	 0.013800 	 gmu96ma2 
251 	 Q0 	     FT943-5608 	  217 	 0.013800 	 gmu96ma2 
251 	 Q0 	    FT933-11838 	  218 	 0.013600 	 gmu96ma2 
251 	 Q0 	 WSJ900411-0011 	  219 	 0.013500 	 gmu96ma2 
251 	 Q0 	    FT923-11170 	  220 	 0.013400 	 gmu96ma2 
251 	 Q0 	    FT921-15009 	  221 	 0.013300 	 gmu96ma2 
251 	 Q0 	    CR93H-15950 	  222 	 0.013100 	 gmu96ma2 
251 	 Q0 	     FT931-7751 	  223 	 0.013100 	 gmu96ma2 
251 	 Q0 	     FT923-8292 	  224 	 0.013000 	 gmu96ma2 
251 	 Q0 	 WSJ920122-0061 	  225 	 0.012900 	 gmu96ma2 
251 	 Q0 	      FT931-831 	  226 	 0.012800 	 gmu96ma2 
251 	 Q0 	     CR93E-3777 	  227 	 0.012700 	 gmu96ma2 
251 	 Q0 	     FT921-8486 	  228 	 0.012600 	 gmu96ma2 
251 	 Q0 	     FT932-9440 	  229 	 0.012500 	 gmu96ma2 
251 	 Q0 	     FT923-5807 	  230 	 0.012500 	 gmu96ma2 
251 	 Q0 	 WSJ900919-0097 	  231 	 0.012000 	 gmu96ma2 
251 	 Q0 	     FT934-6879 	  232 	 0.012000 	 gmu96ma2 
251 	 Q0 	    FT931-12352 	  233 	 0.011600 	 gmu96ma2 
251 	 Q0 	     FT944-6490 	  234 	 0.011500 	 gmu96ma2 
251 	 Q0 	    CR93H-15875 	  235 	 0.011300 	 gmu96ma2 
251 	 Q0 	    CR93H-11519 	  236 	 0.011200 	 gmu96ma2 
251 	 Q0 	     CR93H-2892 	  237 	 0.011100 	 gmu96ma2 
251 	 Q0 	  AP880929-0260 	  238 	 0.011000 	 gmu96ma2 
251 	 Q0 	  ZF207-937-764 	  239 	 0.011000 	 gmu96ma2 
251 	 Q0 	     FT922-3632 	  240 	 0.010900 	 gmu96ma2 
251 	 Q0 	  AP880323-0167 	  241 	 0.010800 	 gmu96ma2 
251 	 Q0 	     FT934-1785 	  242 	 0.010800 	 gmu96ma2 
251 	 Q0 	    FT943-16133 	  243 	 0.010700 	 gmu96ma2 
251 	 Q0 	    FT942-11116 	  244 	 0.010700 	 gmu96ma2 
251 	 Q0 	     FT942-3840 	  245 	 0.010500 	 gmu96ma2 
251 	 Q0 	     FT943-6349 	  246 	 0.010500 	 gmu96ma2 
251 	 Q0 	    FT944-18242 	  247 	 0.010000 	 gmu96ma2 
251 	 Q0 	    FT931-15728 	  248 	 0.010000 	 gmu96ma2 
251 	 Q0 	  AP881228-0011 	  249 	 0.010000 	 gmu96ma2 
251 	 Q0 	     FT944-5444 	  250 	 0.009900 	 gmu96ma2 
251 	 Q0 	    FT922-13947 	  251 	 0.009500 	 gmu96ma2 
251 	 Q0 	     CR93H-4888 	  252 	 0.009200 	 gmu96ma2 
251 	 Q0 	    FT931-10516 	  253 	 0.009100 	 gmu96ma2 
251 	 Q0 	     CR93E-3662 	  254 	 0.009000 	 gmu96ma2 
251 	 Q0 	     FT944-8896 	  255 	 0.008900 	 gmu96ma2 
251 	 Q0 	     FT944-6743 	  256 	 0.008700 	 gmu96ma2 
251 	 Q0 	    FT941-12530 	  257 	 0.008600 	 gmu96ma2 
251 	 Q0 	     FT942-6279 	  258 	 0.008500 	 gmu96ma2 
251 	 Q0 	     FT931-3465 	  259 	 0.008500 	 gmu96ma2 
251 	 Q0 	     FT931-4413 	  260 	 0.008500 	 gmu96ma2 
251 	 Q0 	     FT924-6851 	  261 	 0.008200 	 gmu96ma2 
251 	 Q0 	     FT943-1810 	  262 	 0.008200 	 gmu96ma2 
251 	 Q0 	 WSJ920324-0109 	  263 	 0.008000 	 gmu96ma2 
251 	 Q0 	    FT924-10521 	  264 	 0.008000 	 gmu96ma2 
251 	 Q0 	     FT911-2109 	  265 	 0.007900 	 gmu96ma2 
251 	 Q0 	     FT911-1681 	  266 	 0.007900 	 gmu96ma2 
251 	 Q0 	  ZF207-753-807 	  267 	 0.007700 	 gmu96ma2 
251 	 Q0 	 WSJ911217-0136 	  268 	 0.007500 	 gmu96ma2 
251 	 Q0 	     FT924-7846 	  269 	 0.007500 	 gmu96ma2 
251 	 Q0 	    FT931-14151 	  270 	 0.007400 	 gmu96ma2 
251 	 Q0 	    FT924-13980 	  271 	 0.006800 	 gmu96ma2 
251 	 Q0 	     FT933-4353 	  272 	 0.006800 	 gmu96ma2 
251 	 Q0 	     FT933-1204 	  273 	 0.006600 	 gmu96ma2 
251 	 Q0 	    FT941-14491 	  274 	 0.006600 	 gmu96ma2 
251 	 Q0 	       FT923-31 	  275 	 0.006500 	 gmu96ma2 
251 	 Q0 	  ZF207-864-142 	  276 	 0.006500 	 gmu96ma2 
251 	 Q0 	    FT942-11690 	  277 	 0.006100 	 gmu96ma2 
251 	 Q0 	     FT943-3207 	  278 	 0.006000 	 gmu96ma2 
251 	 Q0 	     FT944-6442 	  279 	 0.006000 	 gmu96ma2 
251 	 Q0 	     FT921-4470 	  280 	 0.005700 	 gmu96ma2 
251 	 Q0 	 WSJ911121-0057 	  281 	 0.005600 	 gmu96ma2 
251 	 Q0 	    FT943-11186 	  282 	 0.005500 	 gmu96ma2 
251 	 Q0 	    FT941-11863 	  283 	 0.005400 	 gmu96ma2 
251 	 Q0 	    FT931-12197 	  284 	 0.005400 	 gmu96ma2 
251 	 Q0 	    FT931-11996 	  285 	 0.005200 	 gmu96ma2 
251 	 Q0 	     FT923-8036 	  286 	 0.005200 	 gmu96ma2 
251 	 Q0 	     CR93H-7007 	  287 	 0.005100 	 gmu96ma2 
251 	 Q0 	     CR93H-2658 	  288 	 0.005100 	 gmu96ma2 
251 	 Q0 	     CR93E-1966 	  289 	 0.004800 	 gmu96ma2 
251 	 Q0 	     CR93H-2656 	  290 	 0.004800 	 gmu96ma2 
251 	 Q0 	  ZF209-522-811 	  291 	 0.004500 	 gmu96ma2 
251 	 Q0 	     FT943-5331 	  292 	 0.004400 	 gmu96ma2 
251 	 Q0 	     CR93H-8703 	  293 	 0.003300 	 gmu96ma2 
251 	 Q0 	 WSJ900711-0069 	  294 	 0.003300 	 gmu96ma2 
251 	 Q0 	     CR93E-6170 	  295 	 0.003100 	 gmu96ma2 
251 	 Q0 	  ZF207-834-546 	  296 	 0.002800 	 gmu96ma2 
251 	 Q0 	      CR93E-486 	  297 	 0.002800 	 gmu96ma2 
251 	 Q0 	    CR93H-12217 	  298 	 0.002700 	 gmu96ma2 
251 	 Q0 	    FT931-13052 	  299 	 0.002600 	 gmu96ma2 
251 	 Q0 	     CR93H-9407 	  300 	 0.002500 	 gmu96ma2 
251 	 Q0 	     CR93H-5785 	  301 	 0.001800 	 gmu96ma2 
251 	 Q0 	    CR93H-15024 	  302 	 0.001800 	 gmu96ma2 
251 	 Q0 	    CR93H-11994 	  303 	 0.000800 	 gmu96ma2 
251 	 Q0 	     CR93H-7612 	  304 	 0.000800 	 gmu96ma2 
251 	 Q0 	     CR93H-5957 	  305 	 0.000700 	 gmu96ma2 
251 	 Q0 	     CR93H-7055 	  306 	 0.000400 	 gmu96ma2 
251 	 Q0 	   FR88721-0017 	  307 	 0.000300 	 gmu96ma2 
251 	 Q0 	    CR93H-15550 	  308 	 0.000100 	 gmu96ma2 
251 	 Q0 	   FR88607-0109 	  309 	 0.000000 	 gmu96ma2 
252 	 Q0 	    CR93H-14389 	    1 	 0.066300 	 gmu96ma2 
252 	 Q0 	  AP880701-0177 	    2 	 0.034100 	 gmu96ma2 
252 	 Q0 	  AP880325-0004 	    3 	 0.029100 	 gmu96ma2 
252 	 Q0 	     FT943-6569 	    4 	 0.023000 	 gmu96ma2 
252 	 Q0 	  AP880828-0030 	    5 	 0.020300 	 gmu96ma2 
252 	 Q0 	  AP880517-0190 	    6 	 0.012600 	 gmu96ma2 
252 	 Q0 	  AP880518-0097 	    7 	 0.012600 	 gmu96ma2 
252 	 Q0 	     CR93E-7954 	    8 	 0.008500 	 gmu96ma2 
252 	 Q0 	     CR93E-8484 	    9 	 0.006700 	 gmu96ma2 
252 	 Q0 	     CR93H-7735 	   10 	 0.006100 	 gmu96ma2 
252 	 Q0 	     CR93E-6905 	   11 	 0.005400 	 gmu96ma2 
252 	 Q0 	      CR93H-981 	   12 	 0.005100 	 gmu96ma2 
252 	 Q0 	     CR93H-7720 	   13 	 0.004700 	 gmu96ma2 
252 	 Q0 	     CR93E-9750 	   14 	 0.002200 	 gmu96ma2 
252 	 Q0 	     CR93H-6029 	   15 	 0.001700 	 gmu96ma2 
252 	 Q0 	      CR93H-199 	   16 	 0.001700 	 gmu96ma2 
252 	 Q0 	     CR93H-8437 	   17 	 0.001300 	 gmu96ma2 
252 	 Q0 	     CR93H-9548 	   18 	 0.001200 	 gmu96ma2 
252 	 Q0 	     CR93H-9134 	   19 	 0.001200 	 gmu96ma2 
252 	 Q0 	     CR93H-4122 	   20 	 0.001100 	 gmu96ma2 
252 	 Q0 	     CR93H-4635 	   21 	 0.001100 	 gmu96ma2 
252 	 Q0 	    CR93H-10601 	   22 	 0.001100 	 gmu96ma2 
252 	 Q0 	    CR93H-16253 	   23 	 0.000900 	 gmu96ma2 
252 	 Q0 	     CR93H-4827 	   24 	 0.000800 	 gmu96ma2 
252 	 Q0 	     CR93H-6912 	   25 	 0.000300 	 gmu96ma2 
253 	 Q0 	  AP880901-0111 	    1 	 0.200300 	 gmu96ma2 
253 	 Q0 	  AP880916-0001 	    2 	 0.147000 	 gmu96ma2 
253 	 Q0 	  AP880225-0216 	    3 	 0.132400 	 gmu96ma2 
253 	 Q0 	  AP880224-0207 	    4 	 0.105300 	 gmu96ma2 
253 	 Q0 	  AP880324-0143 	    5 	 0.095800 	 gmu96ma2 
253 	 Q0 	  AP880224-0112 	    6 	 0.091000 	 gmu96ma2 
253 	 Q0 	 WSJ900612-0011 	    7 	 0.063700 	 gmu96ma2 
253 	 Q0 	  ZF207-267-463 	    8 	 0.059100 	 gmu96ma2 
253 	 Q0 	     FT923-6174 	    9 	 0.034800 	 gmu96ma2 
253 	 Q0 	     FT932-1124 	   10 	 0.018900 	 gmu96ma2 
253 	 Q0 	    FT943-10790 	   11 	 0.015700 	 gmu96ma2 
253 	 Q0 	  AP881030-0100 	   12 	 0.012400 	 gmu96ma2 
253 	 Q0 	   FR88912-0055 	   13 	 0.011400 	 gmu96ma2 
253 	 Q0 	     FT932-7111 	   14 	 0.008700 	 gmu96ma2 
253 	 Q0 	     FT923-7805 	   15 	 0.008400 	 gmu96ma2 
253 	 Q0 	   FR88712-0109 	   16 	 0.007100 	 gmu96ma2 
253 	 Q0 	 WSJ911224-0095 	   17 	 0.006800 	 gmu96ma2 
253 	 Q0 	    FT933-10988 	   18 	 0.006300 	 gmu96ma2 
